Rank,Name of Director
1,Steven Spielberg
2,Martin Scorsese
3,Francis Ford Coppola
4,Stanley Kubrick
5,Alfred Hitchcock
6,James Cameron
7,Christopher Nolan
8,David Fincher
9,Quentin Tarantino
10,Peter Jackson
11,Robert Zemeckis
12,Clint Eastwood
13,Woody Allen
14,Ron Howard
15,Brian De Palma
16,Roman Polanski
17,David Lynch
18,David Cronenberg
19,Wes Anderson
20,Frank Darabont
21,Joel Coen
22,Steven Soderbergh
23,Orson Welles
24,Charles Chaplin
25,Sergio Leone
26,Paul Thomas Anderson
27,Michael Mann
28,Ridley Scott
29,Oliver Stone
30,Terrence Malick
31,Denis Villeneuve
32,Tim Burton
33,Sam Raimi
34,Kenneth Branagh
35,Lasse Hallström
36,Danny Boyle
37,Sam Mendes
38,Edward Zwick
39,James Mangold
40,Guillermo del Toro
41,Alfonso Cuarón
42,Alejandro G. Iñárritu
43,Bryan Singer
44,Darren Aronofsky
45,J.J. Abrams
46,Richard Linklater
47,Kathryn Bigelow
48,Nancy Meyers
49,Nora Ephron
50,Cameron Crowe
